ID,페이즈,영역,과제,산출물,담당,선행,마감일,상태,사람승인,메모
B01,1차 RS,브랜드,브랜드 아키텍처 확정,RS(마스터)·라라슈(서브)·제품라인명 구조도,대표,,2026-09-30,진행중,필요,RS = 리솔앤슈(Re sole & shoe). RS=마케팅 전반 / 풀네임=상세페이지 전용. 제품라인명만 남음
B02,1차 RS,브랜드,RS 상표 선행조사,유사상표 리스트·등록 가능성 의견,researcher,,2026-09-30,대기,불필요,RS 로고 이미 금형 각인됨 → 최우선. 영문 2글자 식별력 이슈 → 로고 결합형 권장
B03,1차 RS,브랜드,RS 로고·BI 확정,로고 AI/SVG·컬러·폰트,content-creator,B01,2026-10-02,대기,필요,brand-kit-builder 스킬
B04,1차 RS,브랜드,RS 브랜드 스토리·슬로건·톤앤보이스,브랜드 스토리 1p,content-creator,B01,2026-10-02,대기,필요,패키지·상세·홈피 공통 문안의 원천
B05,1차 RS,브랜드,RS 상표 출원(로고 결합형),출원번호(25류 신발·35류 판매),변리사,"B02,B03",2026-10-06,대기,필요,출원만 해두면 ™ 표기 가능
B06,1차 RS,브랜드,RS 약식 브랜드북,로고·컬러·폰트 가이드 PDF,content-creator,B03,2026-10-10,대기,불필요,패키지·홈피 외주 전달용
P01,1차 RS,생산,시사출 품평회(조리화·인솔),불량 포인트·사진·착화 피드백,대표/공장,,2026-09-30,진행중,불필요,"사진 1차 소견 완료(qc/2026-09-24-시사출-품평.md, 🔴4건). 실물 착화 테스트 남음"
P02,1차 RS,생산,금형 수정 범위 확정,수정 요청서·수정비 견적,공장,P01,2026-10-02,대기,필요,🔴 Q1·Q2·Q3·Q6 수정안·수정비 회신 필요. 수정비 도약 과제 비목 해당 여부 확인
P03,1차 RS,생산,사이즈 체계 확정,사이즈 스펙표(mm)·인솔 커팅 가이드,공장,P01,2026-10-02,대기,불필요,패키지 사이즈 결정의 선행조건
P04,1차 RS,생산,양산 MOQ·단가·리드타임 확정,양산 견적서,공장,P02,2026-10-07,대기,필요,11/1 재고 확보 가능 여부 판정
P05,1차 RS,생산,판매 방식 결정,재고판매 vs 예약판매(와디즈/사전예약) 결정,대표,P04,2026-10-07,대기,필요,양산이 10/28 입고 불가면 예약판매로 전환
P06,1차 RS,생산,2차 샘플(수정 금형),확정 샘플 컬러별 1족,공장,P02,2026-10-16,대기,불필요,
P07,1차 RS,생산,1차 양산 발주,발주서,대표,"P04,P05,F03",2026-10-12,대기,필요,
P08,1차 RS,생산,검수 기준서(AQL),검수 체크리스트,rs-launch-pm,P06,2026-10-16,대기,불필요,
P09,1차 RS,생산,입고·검수·재고 등록,입고 검수표,물류,P07,2026-10-28,대기,불필요,
C01,1차 RS,인증/법무,KC/품질표시 대상 확인,확인 회신(국표원/시험기관),대표,,2026-09-30,대기,불필요,패키지 표시사항 확정의 선행조건 [확인필요]
C02,1차 RS,인증/법무,미끄럼 저항 시험 의뢰,시험 접수증 → 성적서,시험기관,P01,2026-10-02,대기,필요,성적서 2~3주. 시사출품으로 접수 가능한지 기관 확인
C03,1차 RS,인증/법무,유해물질(PAHs 등) 시험 의뢰,시험 접수증 → 성적서,시험기관,P01,2026-10-02,대기,필요,퍼징 후 깨끗한 재사출품으로 제출(붉은 얼룩 Q3 샘플 제출 금지)
C04,1차 RS,인증/법무,내유성·내구성 시험 의뢰,시험 접수증 → 성적서,시험기관,P01,2026-10-02,대기,필요,
C05,1차 RS,인증/법무,시험성적서 수령,성적서 PDF 3종,시험기관,"C02,C03,C04",2026-10-23,대기,불필요,미수령 시 해당 문구 빼고 오픈
