ID,구분,프로젝트,할일,담당,마감일,상태,우선순위,비고
28,긴급,RS런칭-브랜드,브랜드 아키텍처 확정,신동규,2026-09-30,진행중,높음,[B01] RS = 리솔앤슈(Re sole & shoe). RS=마케팅 전반 / 풀네임=상세페이지 전용. 제품라인명만 남음
29,긴급,RS런칭-브랜드,RS 상표 선행조사,Claude(researcher),2026-09-30,대기,중간,[B02] RS 로고 이미 금형 각인됨 → 최우선. 영문 2글자 식별력 이슈 → 로고 결합형 권장
30,긴급,RS런칭-생산,시사출 품평회(조리화·인솔),신동규,2026-09-30,진행중,중간,"[P01] 사진 1차 소견 완료(qc/2026-09-24-시사출-품평.md, 🔴4건). 실물 착화 테스트 남음"
31,긴급,RS런칭-인증/법무,KC/품질표시 대상 확인,신동규,2026-09-30,대기,중간,[C01] 패키지 표시사항 확정의 선행조건 [확인필요]
32,긴급,RS런칭-홈페이지,도메인·제작 플랫폼 결정,신동규,2026-09-30,대기,높음,[H01] 아임웹/카페24(자사몰 겸용) vs 브랜드 소개형 정적 사이트
33,긴급,RS런칭-재무,런칭 예산표,Claude(rs-launch-pm),2026-09-30,대기,높음,[F01] 자부담 vs 지원금(G01) 구분
34,긴급,RS런칭-정부지원,도약 과제 비목·KPI·잔액 확인,Claude(rs-launch-pm),2026-09-30,대기,중간,[G01] 총 124040000원. 소진 마감 11/15 역산해 잔액 집행계획 수립
35,긴급,RS런칭-브랜드,네이밍 사용 규칙표,Claude(rs-launch-pm),2026-09-30,진행중,높음,[B07] RS=광고·패키지·홈피 / 리솔앤슈=상세페이지만
36,긴급,RS런칭-박람회,참가 박람회 확정,신동규,2026-09-30,대기,높음,[E01] [확인필요] 박람회명·일정. 확정 시 E02~E07 마감을 행사일 기준으로 재계산
37,긴급,RS런칭-생산,퍼징 후 재사출 샘플(시험 제출용),공장,2026-10-01,대기,중간,[P11] C02~C04 시험 접수용
38,긴급,RS런칭-브랜드,RS 로고·BI 확정,Claude(content-creator),2026-10-02,대기,높음,[B03] brand-kit-builder 스킬
39,긴급,RS런칭-브랜드,RS 브랜드 스토리·슬로건·톤앤보이스,Claude(content-creator),2026-10-02,대기,높음,[B04] 패키지·상세·홈피 공통 문안의 원천
40,긴급,RS런칭-생산,금형 수정 범위 확정,공장,2026-10-02,대기,높음,[P02] 🔴 Q1·Q2·Q3·Q6 수정안·수정비 회신 필요. 수정비 도약 과제 비목 해당 여부 확인
41,긴급,RS런칭-생산,사이즈 체계 확정,공장,2026-10-02,대기,중간,[P03] 패키지 사이즈 결정의 선행조건
42,긴급,RS런칭-인증/법무,미끄럼 저항 시험 의뢰,시험기관,2026-10-02,대기,높음,[C02] 성적서 2~3주. 시사출품으로 접수 가능한지 기관 확인
43,긴급,RS런칭-인증/법무,유해물질(PAHs 등) 시험 의뢰,시험기관,2026-10-02,대기,높음,[C03] 퍼징 후 깨끗한 재사출품으로 제출(붉은 얼룩 Q3 샘플 제출 금지)
44,긴급,RS런칭-인증/법무,내유성·내구성 시험 의뢰,시험기관,2026-10-02,대기,높음,[C04]
45,긴급,RS런칭-패키지,패키지 구조·사이즈 결정,인쇄소,2026-10-02,대기,높음,[K01] 조리화 박스 · 인솔 파우치/헤더택
46,긴급,RS런칭-홈페이지,사이트맵·페이지 구성,Claude(rs-launch-pm),2026-10-02,대기,중간,[H02] 브랜드/제품/ESG·자원순환/B2B 단체구매 문의/라라슈 Coming soon
47,긴급,RS런칭-마케팅,타깃 페르소나·키워드 조사,Claude(researcher),2026-10-02,대기,중간,[M01] 급식 조리사 / 자영업 셰프 / 서서 일하는 직장인(인솔)
48,긴급,RS런칭-재무,채널별 수수료·물류비 표,Claude(rs-launch-pm),2026-10-02,대기,중간,[F02]
49,긴급,RS런칭-생산,아웃솔 민트 인서트 박리 테스트,공장,2026-10-02,대기,중간,[P10] Q10. 떨어지면 양산 불가
50,긴급,RS런칭-박람회,부스 신청·참가비 집행,신동규,2026-10-02,대기,높음,[E02] 도약 과제 홍보비 비목 해당 여부 확인(소진 마감 11/15)
51,이번주,RS런칭-브랜드,RS 상표 출원(로고 결합형),변리사,2026-10-06,대기,높음,[B05] 출원만 해두면 ™ 표기 가능
52,이번주,RS런칭-생산,판매 방식 결정,신동규,2026-10-07,대기,높음,[P05] 양산이 10/28 입고 불가면 예약판매로 전환
53,중기,RS런칭-생산,1차 양산 발주,신동규,2026-10-12,대기,높음,[P07]
54,중기,RS런칭-패키지,인쇄 데이터 확정·인쇄 발주,신동규,2026-10-13,대기,높음,[K05]
55,중기,RS런칭-상세페이지,상세페이지 최종(성적서 반영),Claude(content-creator),2026-10-27,대기,높음,[DP04]
56,중기,RS런칭-홈페이지,QA·오픈,신동규,2026-10-30,대기,높음,[H05] 사업자정보·통신판매업·개인정보처리방침·약관·모바일 확인
57,중기,RS런칭-정부지원,성과 매핑,Claude(rs-launch-pm),2026-10-31,대기,높음,[G03] 과제 종료 11/30(대시보드#22) — 폐타이어 논슬립 주방화+CXP인솔. 11/1 런칭 성과를 결과보고에 매핑
58,중기,RS런칭-정부지원,런칭 비용 집행 증빙,신동규,2026-11-15,진행중,높음,[G02] ⚠️ 사업비 소진 마감 11/15(대시보드#21). 패키지·홈피·시험·금형수정비 전부 이 안에 집행·증빙
