ID,영역,과제,산출물,담당,선행,목표시점,상태,사람승인,메모
P01,생산,시사출 품평회(조리화·인솔),불량 포인트 리스트·사진·착화 피드백 10명,대표/공장,,D-120,진행중,불필요,조리 종사자 실착 5명 이상 포함
P02,생산,금형 수정 범위 확정,금형 수정 요청서·수정비 견적,공장,P01,D-110,대기,필요,수정비는 도약 과제 비목 해당 여부 확인
P03,생산,사이즈 체계 확정,사이즈 스펙표(mm)·인솔 커팅 가이드,공장,P01,D-110,대기,불필요,조리화 225~290 / 인솔 프리컷 여부
P04,생산,2차 샘플(수정 금형),확정 샘플 컬러별 1족,공장,P02,D-90,대기,불필요,
P05,생산,양산 MOQ·리드타임·단가 확정,양산 견적서,공장,P04,D-80,대기,필요,
P06,생산,검수 기준서(AQL),검수 체크리스트·불량 판정 기준,larash-launch-pm,P04,D-70,대기,불필요,
P07,생산,1차 양산 발주,발주서,대표,"P05,F03",D-60,대기,필요,
P08,생산,입고·검수·재고 등록,입고 검수표,물류,P07,D-15,대기,불필요,
C01,인증/법무,상표 출원 '라라슈'/'LARASH',출원번호(25류 신발·35류 판매),변리사,,D-150,대기,필요,지금 즉시 — 로고 확정 전 선출원 권장. 우선심사 검토
C02,인증/법무,상표 선행조사,유사 상표 리스트,researcher,,D-150,대기,불필요,KIPRIS 검색
C03,인증/법무,미끄럼 저항 시험성적서,시험성적서(KATRI/FITI 등),시험기관,P04,D-75,대기,필요,조리화 핵심 셀링포인트 근거 — 성적서 없으면 '미끄럼방지' 표현 금지
C04,인증/법무,내유성·내구성 시험,시험성적서,시험기관,P04,D-75,대기,필요,주방 기름 환경 대응 근거
C05,인증/법무,유해물질(PAHs 등) 시험,시험성적서,시험기관,P04,D-75,대기,필요,폐타이어 원료 = 소비자 최대 의심 포인트. 선제 방어용
C06,인증/법무,KC/품질표시 대상 여부 확인,확인 회신(국표원/시험기관),대표,,D-100,대기,불필요,성인용 신발·인솔 품질표시 기준 확인 [확인필요]
C07,인증/법무,GR(우수재활용제품) 인증 검토,신청 가능 여부·일정표,larash-launch-pm,C03,D-60,대기,불필요,공공조달 가점·녹색구매 연결
C08,인증/법무,환경표지 인증 검토,신청 가능 여부,larash-launch-pm,,D-60,보류,불필요,GR과 비교 후 택1
C09,인증/법무,친환경·탄소 표현 가이드,허용 문구/금지 문구 표,larash-launch-pm,"C03,C05,F06",D-45,대기,필요,그린워싱 리스크 방어. 카피 전부 이 표로 검수
C10,인증/법무,특허·NTB 표기 확인,패키지/상세 표기 문구,대표,,D-45,대기,필요,특허번호 표기 가능 범위
D01,디자인,브랜드 네이밍 스토리·슬로건,브랜드 스토리 1p,content-creator,,D-120,대기,필요,
D02,디자인,로고·BI 확정,로고 AI/SVG·컬러 시스템,content-creator,C02,D-110,대기,필요,brand-kit-builder 스킬
D03,디자인,브랜드북,브랜드북 PDF,content-creator,D02,D-90,대기,불필요,
D04,디자인,패키지 디자인(조리화 박스·인솔 파우치),인쇄 데이터,content-creator,"D02,C01,C06",D-75,대기,필요,품질표시 항목 누락 체크
D05,디자인,패키지 인쇄 발주,인쇄 발주서,대표,D04,D-65,대기,필요,
D06,디자인,제품 촬영(누끼·연출·착화),촬영 원본,외주,P04,D-60,대기,필요,주방 현장 연출컷 필수
D07,디자인,상세페이지(조리화·인솔),860px PNG·썸네일·SEO 상품명,content-creator,"D06,C09",D-40,대기,필요,simple-detail-page 스킬
M01,마케팅,타깃 페르소나·시장조사,페르소나 3종·경쟁사 가격표,researcher,,D-100,대기,불필요,급식 조리사 / 자영업 셰프 / 서서 일하는 직장인(인솔)
M02,마케팅,키워드·검색량 조사,키워드 표(월검색량),researcher,,D-100,대기,불필요,네이버 데이터랩: 조리화·주방화·주방신발·깔창
M03,마케팅,와디즈 펀딩 기획,목표금액 역산표·리워드 구성,content-creator,"F03,M01",D-60,대기,필요,wadiz-funding 스킬
M04,마케팅,DR 카피 10종,고통자극/욕망변화/사회적증거 카피 세트,content-creator,C09,D-45,대기,필요,
M05,마케팅,B급 숏폼 비트컷 3편,캡컷 타임라인 콘티·완성본,content-creator,D06,D-35,대기,불필요,'하루 10시간 서있는 주방' 공감형
M06,마케팅,실착 체험단(조리 종사자 30명),후기·사진 사용동의서,sales-ops,P04,D-50,대기,필요,사회적 증거 확보. 개인정보 동의 필수
M07,마케팅,메타 광고 세팅,캠페인·픽셀·오디언스,대표,D07,D-20,대기,필요,광고 예산 승인 필요
M08,마케팅,오픈예정 알림신청 모객,알림신청 목표 수,content-creator,M03,D-30,대기,불필요,
M09,마케팅,보도자료(ESG·자원순환),보도자료 1건,content-creator,C09,D-10,대기,필요,폐타이어 재활용량 수치 근거 필요
S01,유통,다이소 인솔 MD 제안,제안서·단가표,sales-ops,"F03,C05",D-60,대기,필요,기존 욕실화 거래 관계 활용. 인솔은 다이소 가격대 적합성 검토
S02,유통,B2B 급식사 제안(단체 조리화),제안서(ESG·산재예방 명분),sales-ops,"C03,F03",D-45,대기,필요,급식 조리종사자 미끄럼 산재 = 핵심 명분
